strategy,fraction_removed,removed_nodes,largest_wcc_mean,largest_wcc_std,largest_scc_mean,largest_scc_std,num_wcc_mean,num_scc_mean
random,0.0,0,0.6715452874406068,0.0,0.028687082885355715,0.0,28390.0,195941.0
random,0.001,202,0.6703348808173094,0.0008278688081939592,0.028611277640425502,7.682517863320905e-05,28489.7,195754.4
random,0.005,1010,0.6620460975162634,0.010095647376602328,0.02802192902052687,0.0009305831529367479,29531.1,195065.55
random,0.01,2019,0.6525394757051621,0.012488723301998373,0.02736965709274499,0.0010586800139441893,30634.75,194189.1
random,0.02,4037,0.6404081592207419,0.015864871755826123,0.026607393240946724,0.001305507558642365,31664.1,192326.5
random,0.05,10092,0.5963970212997874,0.026356421574281676,0.023886084039775456,0.002049375817416433,36075.85,186824.5
degree_targeted,0.0,0,0.6715452874406068,,0.028687082885355715,,28390.0,195941.0
degree_targeted,0.001,202,0.07228748519815888,,0.0028885266532232092,,125424.0,200829.0
degree_targeted,0.005,1010,0.0007877799963336025,,2.477295585954725e-05,,146274.0,200698.0
degree_targeted,0.01,2019,0.00011891018812582679,,1.98183646876378e-05,,151863.0,199745.0
degree_targeted,0.02,4037,4.95459117190945e-05,,1.4863773515728349e-05,,155879.0,197762.0
degree_targeted,0.05,10092,2.477295585954725e-05,,9.9091823438189e-06,,157297.0,191726.0
pagerank_targeted,0.0,0,0.6715452874406068,,0.028687082885355715,,28390.0,195941.0
pagerank_targeted,0.001,202,0.2659971362463026,,0.003101574073615316,,99183.0,200766.0
pagerank_targeted,0.005,1010,0.15937433422681127,,0.0011692835165706301,,117131.0,200450.0
pagerank_targeted,0.01,2019,0.13407123711186972,,0.0005747325759414962,,122579.0,199609.0
pagerank_targeted,0.02,4037,0.12008938082474124,,3.468213820336615e-05,,126069.0,197736.0
pagerank_targeted,0.05,10092,0.08096297434017231,,1.4863773515728349e-05,,131589.0,191713.0
